Identifier,Comment,SubTask1,SubTask2
5079,Tumlog to Hagne ki puja karloge Haggu log,Non-AntiReligion,None
10580,"Tumhara mobile no do aur suno bulaye gaye bahut hai par chune hue thode hai,so u miss the salvation and heaven.😭😭",AntiReligion,Christianity 
10447,Hamer sara debra kuch na kuch hatiyar lege ata he esliye hum vi hatiyar leke ayen ge. Asa hum kar sakte he. Lekin ap boliye apkato 1 hi alah he bo keya hat me pathar leke atake. AK47 leke ata he. Are hindu dhar ki theory pura pithbi pe follow hota he. Ar na man na he to na mano. Humare pithbi pe ba 1 desh me desh chalane keliye sab ka alak alak department he. Jese humare sara debi debta ka kam alak alak he. Ap ko na man na he to akela raja ba prime minister banke ke bat usko boliye tum akela desh chalao. Dushman. Sabse ucha hamara tiranga 🇮🇳 Or kon gadh be uski vasan sunraha he chupchap usko kuch bol nehi raha he . Lol,Non-AntiReligion,None
788,पैंगम्बर 1400 साले प्रथम आतंकवादी था हैं,AntiReligion,Islam
5327,पूरे देश में मस्जिदों पर भोंपू लगाकर 1947 से तुम ये कहते हो तुम्हारा अल्लाह सर्वोपरि है और कोई है ही नहीं तोए बताओ पूरे साल में एक बार रामनवमी यात्रा तलवार या फिर भगवान का नाम या देश में रहने का नियम क्या सीखा दिया पछवाड़े तले दीप जलने लगा वाह हिंदू जाग चुका है बाबू अब यही होगा🚩🚩🚩🚩 जय श्री राम🚩🚩🚩,AntiReligion,Islam
303,काफिरों को छोड़ दो और तूरंत ईस्लाम की ओर रूजू करो अल्लाह तौबा कबूल करे,AntiReligion,Islam
8486,जब कुरान में कुछ अच्छा लिखा हो तो ही तो बताएगा,AntiReligion,Islam
11494,"इस्लाम अल्लाह को मानता है , इसलिए उसकी हर बात इस्लामी नियम पर केंद्रित होती है । इसके लिए किसी अन्य धर्म से तुलना करना ही गलत है । ये x मुसलमान अगर मुसलमान नहीं है तो न हो , इस्लाम को इसकी ज़रूरत नहीं ।",AntiReligion,Islam
4277,Abhi tum parbhu ko nahi janti,Non-AntiReligion,None
5162,जब अल्प संख्यक रहते हैं = तो संविधान कहॉ हैं? जब बहुसंख्यक रहते = संविधान क्या हैं? यही अंतर है।,Non-AntiReligion,None
10766,Allah is god And god is Allah God = generetor Operator Destroyer So means Allah is Jo samajh gaye like karo Jai shree ram,Non-AntiReligion,None
8509,Jhoot bolna too en mullo se sikho 😂,Non-AntiReligion,None
10227,G Nahi Aap kha soh galat hai,Non-AntiReligion,None
4445,ye gobar jalte hi rah jaayenge aur Islam poori duniya me failta hi jaayega,AntiReligion,Hinduism
7621,धर्म परिवर्तन क्या है अब तक हमें समझ में नहीं आया धर्म परिवर्तन करने नहीं आया आत्मा बचाने आए नरक से,Non-AntiReligion,None
7090,Jab aapke Musalman ke Hath Mein Talwar ho sakte to hamara Ram Shri Ram Ke vahan per Bhi To ho sakta hai,AntiReligion,Islam
3714,Sanatan dharm k bare mein aap proovment dijiye madam ji...... Q aap sanatani hogayi 25 saal k baad,Non-AntiReligion,None
1311,Pathar Ki Puja karne wala Jaat Har Jagah Murti Ki Ibadat nahin kar sakta Kyunki vah use Mandir Mein Hi Rakhe milegi,AntiReligion,Hinduism
3935,Jab hum murgi ko eggs baithate h usse Kuch din baad chuja nikalta h aur Kuch andaa Ganda hota h to ye girls ganda eggs h ganda khun Ki thi isliye to jahannumi khabish maloon kaam ki najayaz Shadi ki,Non-AntiReligion,None
7583,KOI BAAT NHI TUM AB TOBA KER LO BAPES KISE SE NIKAH KER LO LOVE KARNA SEKHO IN SHAITANO SE DUR RHO IN PILLO SE ALERT,AntiReligion,Islam
3503,Aap yeshu par visvass Kar ke Dekho har purane se Purana rogg Chala jayega,Non-AntiReligion,None
4241,Karo saalon pagalpan khud ko pichhada sabit karo aur desh ko badnaam karo garv se ka ho ham....,Non-AntiReligion,None
7706,Google Ram aur Kishan ka Bhagwan hone ka dawai nahin deta 😂🤣😂🤣🤣🤣🤣🤣🤣 Allah ka naam likho go god hone ka notification milega 🇸🇦🇸🇦🇸🇦🇸🇦🙌,AntiReligion,Hinduism
1458,Healing hone ke liye..jivan dena padta h..lalach se mtlb se jesus k paas aaoge..to kuchh ni hoga..or healing or chamtkar k liye jesus k paas mt aao..balki apne udhhar k liye aao,Non-AntiReligion,None
8255,Aao Islam Qabool kro or jannat ke haqdar ban jao,Non-AntiReligion,None
781,Khudka bhai kya krta he te dekh le pele,Non-AntiReligion,None
10789,Moulana Answer Nahi Desaktha Tho Teek He Isme RSS Ka Naam Kyu Lerahihe Tum Log Joot Ho Bahuth Debet Se Dhekh Rahahu Koi Be Javab Nahi Derahahe Bhok Ne Ka Alava,AntiReligion,Hinduism
4333,Sameer ne saheeh bola Maloom to sab hai to kis cheez ne door Kiya .shayad isne iskee maa ko maara. Hoga isliye ex hogaya,Non-AntiReligion,None
10350,Madar chodon tumhare dada ke daada ke dada ke dada ke dada sab musalmaan the aur udo mat,AntiReligion,Hinduism
7662,"इस कर्तव्य निष्ठता के लिए, रंग दे वसन्ती की पूरी टीम को बहुत-बहुत साधुवाद देते हैं।",Non-AntiReligion,None
4225,Faick news hai humare india ma sab galat hota hai,Non-AntiReligion,None
3185,Are islam hi cansar he world ka,AntiReligion,Islam
6955,Juthe+ tum Jesse hi santi bhanu karate ho .? Ab Suno no esaia bana vo koi du Kha me se jarur nikla hei vo tumhei NAHI pata? 100 kamake 10 rupiya sesame deter hei me an major hu,Non-AntiReligion,None
764,Be first as a humans then jennath ka bath kijiye,Non-AntiReligion,None
1330,जिलानी इस्लाम को खतम कर दे,Non-AntiReligion,None
3964,ऐसे बात को हम नहीं मानुगा । कि जो वेद स्मृति को पाठ नही करता वो स्वर्ग नहीं जाता ये हमारा सनातन धर्म बताता है । मोल्ला साहब तुम स्वर्ग कि अधिकारी नहि हो ।,Non-AntiReligion,None
1414,Are bhai kya ye exmuslim sach bol raha hai.... confirm karo koi,AntiReligion,Islam
5950,..................... Sameer 100 sawal ke 1 jawab dun ga..... Bolao show me.....,Non-AntiReligion,None
6050,In murtad ladkiyun ke sath yahi hona chahiye ALLAH PAK MUSLIM LADKIYUN KI HEFAJAT FARYE,Non-AntiReligion,None
2258,बात तो आप अच्छी कहते हो पर आपकी आवाज साफ नहीं आती,Non-AntiReligion,None
8389,No musalman ka purvj Nabi tha,AntiReligion,Islam
3833,"1400 साल पहले जब सनातन धर्म हिंदू संस्कृति थी लेकिन इस्लाम नहीं था । इसलिए ईश्वर सत्य है सत्य ही शिव है। अल्लाह सत्य नहीं है मुहम्मद सत्य नहीं है। इसलिए कुरान, इस्लाम, अल्लाह मुहम्मद सब झूठ है।",AntiReligion,Hinduism
11456,"हमारा विरूद्धि कोई धर्म के लोगो से नही हैं, हमारा विरूद्धि तो मानव जाति का सबसे बड़ा शत्रु शैतान से हैं। इफिसियों 6:11-12 [11]सृष्टिकर्ता के सारे हथियार बान्ध लो; कि तुम शैतान की युक्तियों के साम्हने खड़े रह सको। [12]क्योंकि हमारा यह मल्लयुद्ध, लोहू और मांस से नहीं, परन्तु प्रधानों से और अधिकारियों से, और इस संसार के अन्धकार के हाकिमों से, और उस दुष्टता की आत्मिक सेनाओं से है जो आकाश में हैं। याकूब 4:7-8 [7]इसलिये सृष्टिकर्ता के आधीन हो जाओ; और शैतान का साम्हना करो, तो वह तुम्हारे पास से भाग निकलेगा। [8]सृष्टिकर्ता के निकट आओ, तो वह भी तुम्हारे निकट आएगा: हे पापियों, अपने हाथ शुद्ध करो; और हे दुचित्ते लोगों अपने हृदय को पवित्र करो। रोमियो 16:20 [20]शान्ति का सृष्टिकर्ता यहोवा जो की तुम्हारा उद्धारकर्ता यीशु मसीह हैं। शैतान को तुम्हारे पांवों से शीघ्र कुचलवा देगा॥ हमारे यीशु मसीह का अनुग्रह तुम पर होता रहे। हालेल्लुय्या अमीन",Non-AntiReligion,None
941,"Sare dharam ka kendra bindu yeshu hai, lekin log sachchai ko kyu nahi sanghate hai, yeshu sare manaw jati ka savior hai,bina yeshu ke salvation nhi, khuda v kahega tum kon ho me nhi janta.",AntiReligion,Christianity 
1318,"Or Bible aise pastor k liye b batati h.ki kai jhutae bhabhisya bhata khade ho jayge ,chamatkar kr logo Ko thagaege. Aise pastor h jo lalchi h Jesus k Naam pr thagtae h.Hae aise pastor pr kuch ki wajah se madam aap itna bada sawal khada nhi kr sakti.",Non-AntiReligion,None
3955,Aag laga ke chali gai besharm,Non-AntiReligion,None
9315,Sir bohot bohot achha kam kia he aap ne..hindu dham mitane valle ko firaf dar kijiye.. hamara hindustan ko aur hamara dharm ko rakhya kijiye....jay sri ram..Odisha..,Non-AntiReligion,None
3706,Koi nahi rok skta ye khuda ka kam h mere bhaiyo and bahno,Non-AntiReligion,None
2123,"बेटे यह तो हमारी परंपरा है हमारे सभी देवी देवता ओ के हाथों में हथियार होते हैं और उन देवो के सम्मान में हमे भी उसी तरह हथियार लेकर ही जुलूस निकाल कर निकलना होता है। और तुम्हारे ताजिया जुलूस निकाला जाता है तो तुम लोग क्यों या हुसैन,या हुसैन कहकर तलवारे गुमाये हुए निकल रहे हो क्यों भई तुम्हारे को भी क्या जरुरत होती है कि तलवारे लोहे की जंजीर भाले सब लेकर निकल रहे हो क्यों भई बंद करो कराओ ये दब दोगले ओवैसी। भाग यहां से।",Non-AntiReligion,None
4867,"Roshan, shayam ji yadi aap ko paisa dekar dharam pariwartan ke liye gaya to aap paisa le liye. 😇😇🤯🤯🤯😤😤😤 aap bilkool yahi hai",Non-AntiReligion,None
9441,Jannat me aatankwadi banane ke baad jate hai,AntiReligion,Islam
1555,13:40 Kitna kush funny likha huya hai Mujhe lagta hai unki life koi larki ya fun nahi tha jo itna gusse main the rasool allah inke,Non-AntiReligion,None
7392,Shukar h allah ka aise ldkiyo k sath aisa he hona chahiye,AntiReligion,Islam
10946,Nahin yah bilkul galat baat hai,Non-AntiReligion,None
10892,भाइयों अपने देश में भी ईस कट्टू समुदाय वालों को मारने से न चूको 😡😡 बस इतना ध्यान रखें कि शुरुआत स्वयं न करें लेकिन जब मौका मिले तो छोड़ो भी मत। जिल्लत की जिंदगी से इज्ज़त की मौत भली,Non-AntiReligion,None
4492,quran hawa se girl kaise pta chala quran me likha hai quran allah ne likhi kaise pta hala ye quran me likha hai Conlusion - writer maze le gya🤣🤣🤣🤣,Non-AntiReligion,None
2725,Aise hi hona chahiye .Mera or tumhara pyare nabi mohmmed Mustafa s.a.w na bacchiyo ka wasta roye or yah generation ka hisab se chalne wale ki aise hi hoti hai Bhout kuhb meri bheno Bhagwa trap se baccho yaar pasne koshis kare hindu boys . apna family ko bolo hindu boy ke baare main,Non-AntiReligion,None
9980,Is aurat ne masih ko achhe se jana hota to cheng na hoti.,Non-AntiReligion,None
4378,Esther name bhi hta leti madam,Non-AntiReligion,None
11235,"Me v khud ek hindu thi, ajj yeshu pr biswas karke me bohot zyada atma me khus hun.. hallelujah ✝️✝️",Non-AntiReligion,None
2539,"Is didi ki muh sey koi sachai nahi nikal rahi hai, aplog biwas mot kro, Jutpey jut boley ja rahi hai,",Non-AntiReligion,None
4739,Aaj hindu jag jai to jai sale AK kodi mule aise.apni ghand jaise mhu sai ghu nahi kar rha hota,Non-AntiReligion,None
7477,Izzat nahi ink dharm kaa randi khana may bhi padhenge,Non-AntiReligion,None
1047,O bhai hum pehele hindu bi nahi hai musalman hi nahi hai hum pehele insaan hai,AntiReligion,Hinduism
1121,very good ab chuslam ki dhajiya ud gayi .koi sachai nahi Islam mae sirf aur sirf makari hai chuslam mae,AntiReligion,Islam
5081,Nhi uske sath hona chahiye jo inka samarthan karta ho baki sabki ijat ek jaisi hai,Non-AntiReligion,None
2819,हर एक व्यक्ति जो दूसरे को शिक्षा देता है पहले खुद शिक्षित हो,Non-AntiReligion,None
679,Bharat ke mule Bure fasehe jwab khase layega hogato degana,AntiReligion,Islam
10077,Aise ladki ko aise hi hoga,Non-AntiReligion,None
4874,Aggar Yeah Log Padhe Likhe Hote To Beach Mein Aa K Hungama Na Karte Aisa Isss Liye kyunki Hamara Bhartiya Savidhan 25 se 28 Yeah Kehta Hai Ki Bharat Mein Kisi Dhram Ka Prachar Prasar Kiya Ja Sakta Hai Per Yeah Gawar Log Bas Jalte Hai Christian Logo Se Are Mandbuddhi wale Log Aaj K Time Kon Kiss Ko Paisa Deta Hai Tumko Tumhare Apne Ghar Wale Na De Aur Yeah Bol Rahe Ki Dharam Parivartan Karte Hai Dimga To Laga Lo Bevkuf Log,Non-AntiReligion,None
10579,Iss liye toh kehta hu pakistan pe hindu kya kar rahe hai kyun apne Hindustan nahi aa jate kam se kam yeh sab toh dekhna sunn na nahi padta...???,Non-AntiReligion,None
7660,Abhi is anchor ko saboot Mila hoga sayad,Non-AntiReligion,None
4234,आप जुट बात कर रहे हो,Non-AntiReligion,None
6273,"हिन्दू के लिए 🔞हिन्दी Hindi/ english🔞 कृपया निम्नलिखित उत्तर दें: 1. (समय) धार्मिक पुस्तक  कब लिखी गई थी? 2. धार्मिक पुस्तक  को उसके वर्तमान स्वरूप में हम तक कैसे पहुँचाया गया अर्थात्। कागज की किताबों के रूप में? 3. धार्मिक पुस्तक  को सबसे पहले कीसने ओर कब लिखा था ?   4.कुछ पुरातात्विक प्रमाणों की सहायता से धार्मिक पुस्तक की भाषा कितनी पुरानी है? 5. ऐसे कौन से उन्नत शोध हैं जो पहले से ही धार्मिक पुस्तक  में हैं लेकिन विज्ञान को अभी तक पहचानना बाकी है 6.ओर अभी वर्तमान मे यह पुस्तक कहाँ पर रखी हुई हे? सबुतो के आधार पर बताये। Please answer following: 1. When (time)  religious book were written? 2. How the religious book were carried to us in its present form l.e. in form of paper books? 3. Who first wrote the religious book and when? 4. How old is the language of religious book, with the help of some archaeological proof? 5. What are the advance research which are already in religious book but science has yet to recognise 6. And where is this book kept at present?",Non-AntiReligion,None
2622,Jeev ke was me Jeevan aur mirtyu dono hai.Mam eshwar aapko sadbudhi pradan kare,Non-AntiReligion,None
10847,Islam. Kaheta. H. Jism. Par. Aadhe. Kapde. Pahen. Kar. Numais. Mat. Batao,Non-AntiReligion,None
2837,Duniya bhar ke dhrmo me se gujar kr aya hoo.. Yeshu ke bina na khi sukoon hai na shanti .. or na udhar hai..,Non-AntiReligion,None
4319,100! Baat ki ek baat jo Apne. Maa baap ka nhi ho uski to wo Duniya walo ka Kaise hogi..,Non-AntiReligion,None
673,Isase yah to poochho kiske khuda mein agar dam hai to upar se hi kat ke bhejen yahan kyon katak katate Hain,Non-AntiReligion,None
3576,Maha beakuf maulana hai. Momin kis ku kahte hain bayan karna chahie.,AntiReligion,Islam
4336,BJP waalo ki do hi kaam reh gyii h hindu muslim ko kaisa ladaye Or mehgai kaise badhye,Non-AntiReligion,None
8427,Isake liye gaddar mulk ke khilaf india ki sarkar ko kuchh action lena chahiye,AntiReligion,Islam
4153,Pakistan pok aur Pakistan pura ka pura gavane ke liye ready hojao,AntiReligion,Islam
2626,Knowledge hona zarrori nhi hai knowledge par chalne wale kamiyab honge,Non-AntiReligion,None
3149,हमारे देश का सबसे बड़ा गद्दार ओवैसी जो हिंदू लड़कियों के साथ जो पाकिस्तान कर रहा है भारत में उसका उल्टा होना चाहिए भारत में मुस्लिम लड़कियों को भी हिंदू लड़के से शादी कर आना चाहिए मुस्लिम लड़कियों का धर्म परिवर्तन कर आना चाहिए हिंदू में,AntiReligion,Islam
6075,इनक वालिद साहेब जननत में जायेगे ये भेज सकते हैं अबतक कितने को जननत भेजा है वताएं.जननत के नाम पर लोगों को वेवकूफ मत वनाये.,AntiReligion,Islam
10304,To kar na hmm nai thodi mana Kia hai 😂😂😂,Non-AntiReligion,None
709,"पब्लिक को परेशान करके , अवैध कब्जे पे नमाज पढ़ना हराम है इन जाहिलो को धर्म का पता नहीं बने फिर रहे सच्चे ईमान वाले",Non-AntiReligion,None
11037,Usko javab deneke liye kuch bhi nahi hai. Kyonki jo sameer kaha woh sab kuran me hai. Woh murtad se baat karne ko tayyar hi nahi.,Non-AntiReligion,None
9964,Kitni dukh ki baat hai sister ki 25 salo me bhi aap prabhu ko pahchan nhi payi unse koi rishta nahi bana payi🙏🙏,Non-AntiReligion,None
998,Sri ram ji toh bhagwan mahadev ki aradhana karte hai tabh toh musalmaan ka khuda bhi mahadev hai 😂🙏🏻🙏🏻,Non-AntiReligion,None
825,Bagar sabut ke mamla darj kar diya,Non-AntiReligion,None
8584,SAMEER KOTHE KI PAIDAIS.HAI ESKA KOI JAAT DHARM NAHI HAI,Non-AntiReligion,None
1444,Pakistan me Hindu bacchi ka apharan yeh bahut hi ghatiya kritya hai 57 mulk gaand mara rahe kya Islamic terroristo ko jinda kat dalo pakistan banega hindustan,AntiReligion,Islam
1480,Kamse kam khud ke 5 saal ke bache ke haath me talvar deke yeh to nahi kehte chal beta Hanuman chalisa padhne ye fark hai,Non-AntiReligion,None
2754,Ye Yeshu Mashi kabhi janti hi nhi thi... Aur iski life ki swabhav pura bata rahi hai ki ...how cost her life is 👍..,Non-AntiReligion,None
699,Matlab muhammad ke banaye ollah ko nhi mante to narak milega🤣🤣🤣🤣🤣🤣,AntiReligion,Islam
11501,aaj bol rahe ho bol lo par us waqt kya karoge 50000 saal ka ek din jise Qayamat kaha jata hai us din mere rab ke samne kya jawab doge,Non-AntiReligion,None
9721,"नमस्काराम इस्थरा धनराज 🙏 आप की हिन्दी बहुत ही सराहनीय है l मुझे सब से अच्छा लगा आपने शुध हिन्दी के शब्दों का प्रयोग किया और उर्दू के शब्दों का कम से कम प्रयोग किया l उसके साथ ओडिया और तेलगु जैसे भारत की विभिन्न भाषा आती है, यह अद्भुत है l प्रभु की महिमा आपके साथ सदा रहे l 🙏",Non-AntiReligion,None
6251,kisne roka Hai tumhe poja karne se,Non-AntiReligion,None
7623,"Sameer, aag laga k mast chai perahe hai.🤣🤣🤣 That was hilarious. ""Hum sirf momin se debate karthe hai""",AntiReligion,Islam
892,Ram nhi Ram bhagwan ya Ram ji bol i izzat dega izzat milegi Shamjha,Non-AntiReligion,None
256,Hindu baap ko dekhe ho Jo Islam hai❤❤❤❤❤❤❤❤,AntiReligion,Hinduism
7933,Sister मेरा परमेश्वर आप के साथ है आप ने कुछ गलत नहीं किया गलत तो शैतान करता है लेकिन अपने ही बाइबल कम पढ़ी होगी कियुकी मेरा बाइबल कभी किसी को अधूरा ज्ञान नहीं देता,Non-AntiReligion,None
9665,Jab musalman hindu se bane to hindu ki jan sankhya kiyuon kam hai,AntiReligion,Hinduism
10575,Bhai jese adam seeker ko betha ya ese hi zakir naik se debate karwao ex muslim bhagte nazar aynge apki to headline hi against h muslim k,AntiReligion,Islam
1374,"Janat or dozak sai bhi upper ak chij hai moksha jise hindu dharm mai sawotam mana gaya hai ,in logo ki soch bhi waha tak nahi jaa sakti 😂😂",AntiReligion,Hinduism
6070,Bhai andhbhakti ki seema hoti hai 🤣🤣🤣,AntiReligion,Hinduism
2397,To ye gaddaar mohmed ko kyo itna mante hai,Non-AntiReligion,None
908,"चलो कम से कम बॉलीवुड किसी काम तो आया, वैसे बॉलीवुड सनातन धर्म विरोधी है । #BoycottBollywood 😎",AntiReligion,Hinduism
10563,Madam hume ni jata jannat bhai ye jihadi ko hi mubarakh Hum to sawrag or narak me khus h or vahin jana h Or ye mula jihadi khud 72 huron k lalch me baitha h Koi dharam equal nhi h Dharam sirf sanatan h Baki sab majab h,Non-AntiReligion,None
11010,Ye ladkiya hi galat hai jo hindu ladke se shadi karti hai jabki sab jante hai ki ye sab ho raha hai,Non-AntiReligion,None
10997,Mare huva ko jindda kar deta hua 😃😃😃😃😁😁😄😄😄,Non-AntiReligion,None
1240,"Bandook aur talwar uthaiye, Santi se saitan nahi samajhte hai",AntiReligion,Hinduism
9577,Mulle fat jaate hai jaise hi exmuslim ne mu khola,AntiReligion,Islam
4155,स्थूल शरीर को देवता कहते हैं ।,Non-AntiReligion,None
555,gadhe ho gya pooja kyo hogi sadak me 😡 vo chutiye hai to kya hum bhi ban jaye....,AntiReligion,Hinduism
3391,"मार्ग सत्य और जीवन मैं हु बिना मेरे कोई पिता के पास नही पहुंच सकता। चमत्कार, पादरी नही येशु मसीह करता है । नीति - 21: 2",Non-AntiReligion,None
7577,Pak minarties ka mudda UN main uthana chahiye sarkarko,Non-AntiReligion,None
193,Jaishi karni washi bharni sahi hua,Non-AntiReligion,None
6560,"Ex Muslim, Expose:- 1 - कुरान मे सभी धर्मों के prophets को मुसलिम कहा गया है और वह सभी अल्लाह के नबी थे और सभी का एक ही मकसद था । (कुरान के सुराह- 3:52 , 3:67 , 4:59 , 4:150) तो उन नबीयो को मानने वाले बुरा (मुसरिक या काफिर) कैसे हो सकते हैं ? Question ? उत्तर है- Ex Muslim जैसे लोगो ने अपने मूल धर्म को बदल दिये और ऐसे लोगो को प्रमोट करने वाले नास्तिक (गूमराह) हो गये । स्वयम्भू मनु ( आदम prophet Adam) । (ऋगवेद- 1: 45 :1) जल प्रलयम मनु ( नयूह prophet Nooh) । ( मत्सय पुराण 1&2 , भविष्य पुराण प्रतिसर्ग पर्ब 4 -7) 2 - पहले के उम्मतो को भी अल्लाह ने कुरान जैसी किताब दी थी लेकिन उनके उम्मत के लोग नहीं माने या बदल दिया (कुरान के सुराह- 2:4 , 42:13 , 4: 163 , 26:196) Ex muslim जैसे नास्तिक लोगों ने । - हर उम्मत के लिए अल्लाह ने एक इबादत करने का तरीका मुकर्रर कीया है जिसको वह करते हैं । लिहाजा पहले और अभी के तरीके मे झगड़े पैदा न करें । (कुरान-22:67) - अल्लाह ने संसार के सभी मनुष्यों को एक आदम और एक स्त्री से पैदा किया और कबीलों व बिरादरी मे बाँटा ताकि तुम एक दुसरे को पहचानो और आपस मे मदद् करो । ( कुरान के सुराह- 49 : 13 ) और इसका वर्णन भविष्य पुराण के प्रतिसर्ग 4और 18 मे है । "" आदमो नाम पुरूष: पत्नी हव्यवती तथा """" 3 - एक ईश्वरवाद की धारणा सभी धर्मों मे है लेकिन लोग अनुकरण नहीं करते । ईश्वर एक है और उसकी कोई प्रतिमा नहीं है । ( यजुर्वेद- 40 : 9 , 32 : 3 , अथर्ववेद -13:4:12 , ऋग्वेद-6:45:16 , 8:1:1 ) इसाई में God is one : Gen - 1:1 , Deut - 6:4 , Mark -12:29-- , Chorinthians- 8:6 , Galatians- 3:20 ) आदि सभी धर्मों मे है ।",AntiReligion,Islam
9826,In suar ladkiyo ke sath Aisa hi hona chaiye,Non-AntiReligion,None
4322,Dharm poriworton ka matlab adharm karwana adharm kon karwa raha hei marpit dhamki kon karwa raha hei,Non-AntiReligion,None
6193,भाग मौलाना भाग एक्स समीर आया😂😂😂,AntiReligion,Islam
11320,Jo huwa accha huwa hai ab se ek sabak sikhane ki jarurat hai,Non-AntiReligion,None
11193,Jis religion me auraton ko koi izzat nahi wah log dusri kaum ki aurton ki kiya izzat karenge,Non-AntiReligion,None
7925,हम सब एक ही ईश्वर की संतान है,Non-AntiReligion,None
4573,हिंदुओं को भी अब कट्टरता अपनानी पडेगी ।,AntiReligion,Hinduism
6632,Mai Haryana se .... didi jese hath ke sb ungli ek samaan nhi hai bese ye bat kuchh log khrab ho to sb ek jese h ney ke din bhai aap ko pta chalega jo aap kaha jesus ka hath bande h,AntiReligion,Christianity 
11173,🤣🤣🤣🤣😂😂 sb s chutiya profit h pagmber h in logo ko chutiyo,Non-AntiReligion,None
3708,Jab dunia ka sabse purana dharm hindu hai to musalmano poorwaj hindu hai 100%,AntiReligion,Hinduism
2799,Gharvapsi abhiyan jorse shuru hona chahiye.,Non-AntiReligion,None
864,जब भारत के हिंदू मजबूत होंगे तो विदेश में भी हिन्दू मजबूत होंगे।,AntiReligion,Hinduism
7743,मौलाना शुरू से झूठ बोलना शुरु कर दिया 😂😂,AntiReligion,Islam
4242,Masihiat ko puri na samjhane ke karan hi yaha stithi utpan huyi hae,Non-AntiReligion,None
86,Iska khuda 14 saal pahle khudai me mila tha 🤪🤪🤪,AntiReligion,Islam
7439,Bhagwa love trap hai ye abhi bhi vakt hai sudhar jao 😥,AntiReligion,Islam
7624,Muharram me tum log talwar kyu lahrate ho,AntiReligion,Islam
11529,"Vishnu(easwar), means aadmi nahi hai..sabka bhagavan hai.",Non-AntiReligion,None
3364,Tum bhi to mohhrrm me kya lahraate ho kaagaj🐖🐖🐖🐖,AntiReligion,Islam
2444,Pakistan ko ab koi Nahi Bolga India may ho ta to hangama kart,AntiReligion,Islam
1670,दाढी वाला बकरा जिलेबी बनाना लगा,Non-AntiReligion,None
11355,Pakistan me jo Hindu dukhi horhehi unko Bharat bulalo. Aur yaha hame Dukhi karrahe muslimoko pakistan bhej do. Plz modiji,AntiReligion,Hinduism
10759,Ye to rood wala Jadu dekha raha hai 🤣🤣🤣🤣,Non-AntiReligion,None
9472,Ester bahan ki Hindi bahut pyari hai,Non-AntiReligion,None
2118,Muslim ke saath hi debate kyu karwati hai ye anker pinaz tyagi.,AntiReligion,Islam
4490,राजीव जी आप मैडम को सभी सनातनी प्लेटफार्म पर सत्य को पहुंचाने के लिए जाने का आग्रह करिए।इनकी बहुत जरूरत है आज के दौर में।,Non-AntiReligion,None
2492,100% ye kabhi isaaii thii hi nahi. Iske kaii saare word confused hain,Non-AntiReligion,None
11547,Hindustan mein musalman mahsus hai aur Pakistan mein Hindu mahsus Nahin hai,AntiReligion,Hinduism
9446,पैसे देकर लोगों का धर्म परिवर्तन करतेहैं।यह बात सच है।,Non-AntiReligion,None
324,Bible mein kahin nahin likha ki tum per musibat nahin aaenge are main Hindu hun meri mummy ko doctor ne jawab de diya tha covid se ek aunty yishu ko Marti thi unhone prathna ki aur mummy sans Lene lagi to please kuchh bhi mat bolo,Non-AntiReligion,None
8038,Namaj sadak pe hoti hai to masjido me kya hota hai ? Masjid visfotak rakhne or hlala karne k liye hai???,AntiReligion,Islam
241,Yeh road ko pooj rhe he kia,Non-AntiReligion,None
1287,Hamari namaz 5 time ki h agr aap ki pooja bhi jitni time ki h to kariye shauk s kariye aur karna bhi chahiye hum muslim ki wjh s aap ko apne Pooja ki to yaad aai,AntiReligion,Islam
6282,जितेन्द्र त्यागी के औलादों। यानी टारगेट शिया वसीम रिज़वी??????🤪🤪 त्यागी 😭😭😭,Non-AntiReligion,None
4815,Maulana ki pindli ghabra gai hai Jawab Nahin Dene Ke Karan ab jhagade per Utar aaya hai,Non-AntiReligion,None
8763,Hindu kya itna gir chuka hai jo uski mat maari gaee hai yshu khud ko hi nahi tab ke shasakon se bacha saka vo inn hinduon ki madatd karega ? Jo santanein apane mata pita se yaqeen uthaa deti hain unaka vinash nikat hi hota hai afsos,AntiReligion,Hinduism
6946,Durga Puja ganesh puja etc ye kon se ghar mein hote hai Ye road pe he to manate ho,AntiReligion,Hinduism
3365,Uparvala aese Haram koro ko dikhaye ladki koi bi dram ki ho us par zulam mat karo uparvala sabkuca dekhta he,Non-AntiReligion,None
2627,पीनाज सही विषय (इस्लाम )पे चर्चा कर इस्लाम धर्म के बारे मे सही जानकारी प्राप्त हो रही है समाज को करते रहो,AntiReligion,Islam
1758,"Indian,Nepali Hindu should support these Hindus. Pakistan, Bangladesh se sare Hindu ko HINDUsthan ka citizenship do aur HINDUsthan se sare mulle ko NRC do",Non-AntiReligion,None
4466,Direct India ko hastakshep karna chahiye,Non-AntiReligion,None
316,Ye mulla expose ho gya h aur apni haar se ghabraya hua h.,AntiReligion,Islam
8060,बाई तुने नाम कयु खिश्चन नाम रखा एस्त्रेर का जीवन बहोत अलग जीवन था और वो दूसरों के जीवन के लिए अपना जीवन समर्पिण किया । मेरा नाम सुहासिनी है,Non-AntiReligion,None
3835,Ishwar sabhi ko sanatan saad budhi de❤️❤️❤️👍🙏🙏,Non-AntiReligion,None
